127.0.0.1 - - [01/May/2021:00:31:40 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [01/May/2021:00:31:46 +0530] "GET /Cab_It/ HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [01/May/2021:00:31:55 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:31:55 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:31:56 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:02 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:02 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:02 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:05 +0530] "GET /Cab_It/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:05 +0530] "GET /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:05 +0530] "GET /Cab_It/index.jsp HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:09 +0530] "POST /Cab_It/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:09 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:09 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:11 +0530] "GET /Cab_It/register/employee HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:11 +0530] "GET /Cab_It/employee/create.jsp HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:17 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:17 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:32:17 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
